Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Login,50516,935,76,246547,1565,7583.16,0.40%,12.8,5.40,431.3
Create delivery - step 1,292,6764,215,130084,8040,13350.97,3.08%,.7,0.69,1012.8
Bulk Upload Step 1- Create Draft,9,3449,234,8020,7866,2739.85,0.00%,.0,0.03,799.0
Update delivery - before confirm,283,5251,246,107951,4692,14723.33,6.36%,.7,18.13,25893.0
Bulk Upload Step 1- Update Data,9,2015,402,4447,3041,1155.67,0.00%,.0,0.01,328.0
Confirm delivery,265,6608,181,81815,8224,9960.27,2.64%,.7,0.23,329.4
Bulk Upload Step 1- Upload File,9,2095,784,4203,3307,1042.97,0.00%,.0,0.01,328.0
View delivery,258,5363,168,131029,4619,15447.26,3.10%,.6,1.55,2563.6
TOTAL,51641,1044,76,246547,1679,7790.85,0.47%,13.1,7.47,584.3
