Elapsed time,Bulk Upload Step 1- Create Draft,Bulk Upload Step 1- Update Data,Bulk Upload Step 1- Upload File,Confirm delivery,Create delivery - step 1,Login,Update delivery - before confirm,View delivery
10:31:00.0,451.5,686.5,1204.0,1391.1818181818182,1164.6666666666667,1489.6363636363637,673.4615384615385,490.90909090909093
10:32:00.0,1423.5,1535.0,1168.0,2050.2156862745096,1919.5,2253.2658227848096,1275.8727272727267,1087.0212765957444
10:33:00.0,3577.0,1808.5,2120.5,3993.5714285714284,3443.915254237288,3671.2948717948716,2151.9180327868858,1927.8070175438597
10:34:00.0,6137.5,2818.0,2836.5,5720.046153846154,5056.040540540541,4858.786516853934,2834.705882352941,2705.818181818182
10:35:00.0,7866.0,4447.0,4203.0,7671.55737704918,6970.460317460317,6493.851351351352,3855.1639344262294,3617.7169811320755
10:36:00.0,,,,10148.8,10477.0,9747.318181818182,7530.941176470587,8331.625
10:37:00.0,,,,69278.0,75066.57142857143,79306.83333333333,84206.83333333333,83258.57142857143
10:38:00.0,,,,,130084.0,82445.8,107412.5,131029.0
10:39:00.0,,,,,,78586.21052631579,,
10:40:00.0,,,,,,108038.35897435897,,
10:41:00.0,,,,,,8202.2096676737,,
10:42:00.0,,,,,,251.51750657761588,,
10:43:00.0,,,,,,239.93170627274654,,
10:44:00.0,,,,,,251.97211720226844,,
10:45:00.0,,,,,,254.10181531176005,,
10:46:00.0,,,,,,280.4352441613581,,
10:47:00.0,,,,,,419.4609318996416,,
10:48:00.0,,,,,,664.0296650717708,,
10:49:00.0,,,,,,865.8236808236811,,
10:50:00.0,,,,,,706.8451001053743,,
10:51:00.0,,,,,,498.17353951890004,,
10:52:00.0,,,,,,591.3221667854589,,
10:53:00.0,,,,,,482.6491875923192,,
10:54:00.0,,,,,,440.3042028018682,,
10:55:00.0,,,,,,457.5768967874236,,
10:56:00.0,,,,,,380.46776406035667,,
10:57:00.0,,,,,,372.10714285714243,,
10:58:00.0,,,,,,800.032705649158,,
10:59:00.0,,,,,,421.4031777557098,,
11:00:00.0,,,,,,750.3313953488368,,
11:01:00.0,,,,,,784.6852497096394,,
11:02:00.0,,,,,,714.8714652956295,,
11:03:00.0,,,,,,554.1209677419359,,
11:04:00.0,,,,,,512.0321931589541,,
11:05:00.0,,,,,,480.15263908701854,,
11:06:00.0,,,,,,722.1660839160844,,
11:07:00.0,,,,,,733.9424703891701,,
11:08:00.0,,,,,,500.517615176152,,
11:09:00.0,,,,,,716.384359400999,,
11:10:00.0,,,,,,613.5076923076923,,
11:11:00.0,,,,,,626.4004796163068,,
11:12:00.0,,,,,,716.8997722095675,,
11:13:00.0,,,,,,373.42146596858623,,
11:14:00.0,,,,,,386.1076487252127,,
11:15:00.0,,,,,,414.822629969419,,
11:16:00.0,,,,,,586.2931442080381,,
11:17:00.0,,,,,,683.2142857142859,,
11:18:00.0,,,,,,833.2796208530806,,
11:19:00.0,,,,,,936.9698113207547,,
11:20:00.0,,,,,,1193.811428571428,,
11:21:00.0,,,,,,1145.4375000000005,,
11:22:00.0,,,,,,1158.9157894736834,,
11:23:00.0,,,,,,842.5459183673471,,
11:24:00.0,,,,,,590.7727272727273,,
11:25:00.0,,,,,,640.3157894736842,,
11:26:00.0,,,,,,777.45,,
11:27:00.0,,,,,,984.0625,,
11:28:00.0,,,,,,577.3333333333334,,
11:37:00.0,,,,,,1434.0,,
