Elapsed time,200,400,404,500,504,Non HTTP response code: java.net.SocketException
10:31:00.0,1.4666666666666663,,0.016666666666666666,,,
10:32:00.0,4.8333333333333215,,,0.06666666666666667,,
10:33:00.0,5.23333333333332,0.016666666666666666,,0.03333333333333333,,
10:34:00.0,6.099999999999984,,,0.03333333333333333,,
10:35:00.0,5.23333333333332,,,0.016666666666666666,,
10:36:00.0,1.4333333333333331,,,0.016666666666666666,,
10:37:00.0,,,,,0.5333333333333333,
10:38:00.0,,,,,0.966666666666668,0.016666666666666666
10:39:00.0,,,,,0.3,0.016666666666666666
10:40:00.0,,,,,0.6333333333333336,0.016666666666666666
10:41:00.0,26.233333333333125,,,,1.3333333333333335,0.016666666666666666
10:42:00.0,82.34999999999661,,,,,
10:43:00.0,77.84999999999687,,,,,
10:44:00.0,70.53333333333062,,,,,
10:45:00.0,63.349999999997685,,,,,
10:46:00.0,54.94999999999816,,,,,
10:47:00.0,23.24999999999996,,,,,
10:48:00.0,17.41666666666696,,,,,
10:49:00.0,12.950000000000223,,,,,
10:50:00.0,15.816666666667032,,,,,
10:51:00.0,19.40000000000018,,,,,
10:52:00.0,23.383333333333287,,,,,
10:53:00.0,22.566666666666666,,,,,
10:54:00.0,24.983333333333196,,,,,
10:55:00.0,24.38333333333323,,,,,
10:56:00.0,24.2999999999999,,,,,
10:57:00.0,23.33333333333329,,,,,
10:58:00.0,16.816666666666993,,,,,
10:59:00.0,16.783333333333662,,,,,
11:00:00.0,17.200000000000305,,,,,
11:01:00.0,14.350000000000293,,,,,
11:02:00.0,12.96666666666689,,,,,
11:03:00.0,10.333333333333426,,,,,
11:04:00.0,8.283333333333324,,,,,
11:05:00.0,11.683333333333493,,,,,
11:06:00.0,9.533333333333387,,,,,
11:07:00.0,9.850000000000069,,,,,
11:08:00.0,12.30000000000019,,,,,
11:09:00.0,10.016666666666744,,,,,
11:10:00.0,8.666666666666677,,,,,
11:11:00.0,6.949999999999981,,,,,
11:12:00.0,7.316666666666646,,,,,
11:13:00.0,6.366666666666649,,,,,
11:14:00.0,5.883333333333318,,,,,
11:15:00.0,5.449999999999986,,,,,
11:16:00.0,7.04999999999998,,,,,
11:17:00.0,5.13333333333332,,,,,
11:18:00.0,3.516666666666659,,,,,
11:19:00.0,4.416666666666656,,,,,
11:20:00.0,2.916666666666661,,,,,
11:21:00.0,3.733333333333325,,,,,
11:22:00.0,3.1666666666666603,,,,,
11:23:00.0,3.26666666666666,,,,,
11:24:00.0,0.36666666666666664,,,,,
11:25:00.0,0.31666666666666665,,,,,
11:26:00.0,0.3333333333333333,,,,,
11:27:00.0,0.26666666666666666,,,,,
11:28:00.0,0.05,,,,,
11:37:00.0,0.016666666666666666,,,,,
