Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Login API Gateway _ Lazada,500,1637,362,102291,2191,6899.24,0.60%,.1,0.24,2163.0
Login API Gateway _ E0009,471,1427,356,114006,2224,5291.14,0.42%,.1,0.16,2939.8
Create Delivery As E0009,471,1191,175,71856,1701,4523.49,0.64%,.1,0.02,398.6
Create Delivery As Lazada,497,1281,194,60941,2104,3061.43,0.20%,.1,0.05,432.7
Book Pickup E0009,470,1231,164,75311,2063,3620.06,0.64%,.1,0.53,9334.9
TOTAL,2409,1356,164,114006,2097,4885.81,0.50%,.3,0.84,3012.2
