Number of active threads,Average Book Pickup E0009,Average Create Delivery As E0009,Average Create Delivery As Lazada,Average Login API Gateway _ E0009,Average Login API Gateway _ Lazada,Book Pickup E0009,Create Delivery As E0009,Create Delivery As Lazada,Login API Gateway _ E0009,Login API Gateway _ Lazada
1,,,,,,,,,,0.6321112515802781
2,3.9467833934604313,4.551667351164415,3.4380533066541545,2.473866641845468,2.667082045332122,3.9467833934604313,4.551667351164415,3.4380533066541545,2.473866641845468,2.6711601431151935
