sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
Login API Gateway _ Lazada,500,1637,786,2191,362,102291,0.60%,.1,.2,6899.24
Login API Gateway _ E0009,471,1427,916,2224,356,114006,0.42%,.1,.2,5291.14
Create Delivery As E0009,471,1191,651,1701,175,71856,0.64%,.1,.0,4523.49
Create Delivery As Lazada,497,1281,809,2104,194,60941,0.20%,.1,.0,3061.43
Book Pickup E0009,470,1231,810,2063,164,75311,0.64%,.1,.5,3620.06
TOTAL,2409,1356,799,2097,164,114006,0.50%,.3,.8,4885.81
