Response times in ms,Book Pickup E0009,Create Delivery As E0009,Create Delivery As Lazada,Login API Gateway _ E0009,Login API Gateway _ Lazada
0,469.0,469.0,496.0,470.0,497.0
60000,1.0,2.0,1.0,1.0,3.0
