Number of active threads,Assign task to drivers,Average Assign task to drivers,Average Print invoice of Dex. The biggest one.,Average Search multiple tracking id,Average Search tracking id,Average View invoice details of DEX - summary view - the biggest one,Average View invoice details of DEx - the biggest one,Print invoice of Dex. The biggest one.,Search multiple tracking id,Search tracking id,View invoice details of DEX - summary view - the biggest one,View invoice details of DEx - the biggest one
1,,,,,,,,1817.1904761904761,,,1473.7904761904763,1665.9238095238095
2,502.27000000000015,502.27000000000015,619.1379999999994,0.0,985.25,654.6560000000004,1364.8059999999994,300.66835443037974,0.0,985.25,436.9113924050632,1284.762025316455
