sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
View invoice details of DEX - summary view - the biggest one,500,654,143,1605,87,93536,0.20%,.1,.2,4204.00
View invoice details of DEx - the biggest one,500,1364,1081,2160,315,68500,0.20%,.1,19.5,3098.30
Print invoice of Dex. The biggest one.,500,619,112,826,80,158506,0.20%,.1,.0,7081.36
Assign task to drivers,100,502,293,1146,91,4421,80.00%,.0,.0,631.92
Search tracking id,4,985,768,1443,756,1443,0.00%,.0,.0,278.13
Search multiple tracking id,4,0,0,0,0,0,100.00%,.0,.0,0.00
TOTAL,1608,854,345,1809,0,158506,5.41%,.4,17.2,4921.20
