Number of active threads,Assign task to drivers,Average Assign task to drivers,Average Print invoice of Dex. The biggest one.,Average Search tracking id,Average View invoice details of DEX - summary view - the biggest one,Average View invoice details of DEx - the biggest one,Print invoice of Dex. The biggest one.,Search tracking id,View invoice details of DEX - summary view - the biggest one,View invoice details of DEx - the biggest one
1,,,,,,,5.851189237140794,,3.9355413275225173,1.3453684378712836
2,9.160341924596041,9.160341924596041,13.39317634126771,2.1722646971299433,11.085391589135048,2.000579351855788,15.39800835628879,2.1722646971299433,12.985984696652306,2.174749341649136
